('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         819132 function calls (794845 primitive calls) in 3.462 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      200    0.001    0.000    0.127    0.001 _parser.py:970(parse)
     3035    0.001    0.000    0.002    0.000 filter.py:292(matches_string)
      862    0.001    0.000    0.003    0.000 contextlib.py:303(helper)
      250    0.001    0.000    0.520    0.002 _models.py:935(iter_raw)
      250    0.001    0.000    0.529    0.002 _models.py:884(iter_bytes)
     3342    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      861    0.001    0.000    0.003    0.000 contextlib.py:145(__exit__)
        1    0.001    0.001    0.001    0.001 {function socket.close at 0x10c711760}
     3131    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     1181    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
       98    0.001    0.000    0.002    0.000 enum.py:251(__set_name__)
      519    0.001    0.000    0.001    0.000 enum.py:825(__setattr__)
     4053    0.001    0.000    0.001    0.000 filter.py:259(_base_match)
      199    0.001    0.000    0.002    0.000 enum.py:1603(__and__)
     5946    0.001    0.000    0.001    0.000 element.py:2227(__bool__)
     2804    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
      154    0.001    0.000    0.002    0.000 enum.py:354(__setitem__)
  248/245    0.001    0.000    0.112    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
       99    0.001    0.000    0.022    0.000 typing.py:753(Union)
       93    0.001    0.000    0.001    0.000 {method 'fullmatch' of 're.Pattern' objects}
      244    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
 1281/915    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
     1405    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     2803    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
       83    0.001    0.000    0.001    0.000 {built-in method _imp.source_hash}
      244    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
      454    0.001    0.000    0.001    0.000 typing.py:1358(__getattr__)
      318    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:162(__enter__)
      250    0.001    0.000    0.516    0.002 http11.py:196(_receive_response_body)
      318    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
      671    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
       81    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
       77    0.001    0.000    0.002    0.000 css_types.py:267(__init__)
      873    0.001    0.000    0.001    0.000 enum.py:1585(_get_value)
      719    0.001    0.000    0.002    0.000 _compiler.py:401(_simple)
      136    0.001    0.000    0.001    0.000 css_parser.py:359(__init__)
     3125    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
      200    0.001    0.000    0.001    0.000 _parser.py:954(fix_flags)
      219    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
        7    0.001    0.000    0.004    0.001 cookiejar.py:620(request_host)
      275    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
     2629    0.001    0.000    0.001    0.000 parser.py:127(clear_cdata_mode)
      200    0.001    0.000    0.092    0.000 _compiler.py:576(_code)
     1917    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
       65    0.001    0.000    0.001    0.000 filter.py:378(__init__)
      258    0.001    0.000    0.001    0.000 _state.py:318(_fire_state_triggered_transitions)
       14    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
       88    0.001    0.000    0.005    0.000 typing.py:1634(__getitem__)
      683    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
      250    0.001    0.000    0.001    0.000 _events.py:299(__init__)
      448    0.001    0.000    0.001    0.000 element.py:1881(_all_strings)
        1    0.001    0.001    0.004    0.004 typing_extensions.py:1(<module>)
        1    0.001    0.001    0.002    0.002 socket.py:497(_real_close)
       53    0.001    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
     1676    0.001    0.000    0.001    0.000 {built-in method _sre.unicode_iscased}
      275    0.001    0.000    0.015    0.000 typing.py:1307(__init__)
        1    0.001    0.001    0.003    0.003 connection_pool.py:358(__exit__)
       76    0.001    0.000    0.001    0.000 functools.py:36(update_wrapper)
      273    0.001    0.000    0.001    0.000 css_parser.py:334(match)
  136/131    0.001    0.000    0.009    0.000 css_parser.py:385(freeze)
       28    0.001    0.000    0.004    0.000 enum.py:498(__new__)
      278    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:416(__enter__)
      872    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
        1    0.001    0.001    0.001    0.001 readers.py:64(MultiplexedPath)
        1    0.001    0.001    0.003    0.003 default.py:221(__exit__)
      555    0.001    0.000    0.003    0.000 typing.py:164(_type_convert)
      250    0.001    0.000    0.516    0.002 http11.py:330(__iter__)
      364    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
