('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         806483 function calls (782032 primitive calls) in 8.841 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      218    0.001    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
       18    0.001    0.000    0.003    0.000 __init__.py:358(namedtuple)
      222    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
      291    0.001    0.000    0.004    0.000 typing.py:173(_type_check)
     3352    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
    224/5    0.001    0.000    1.516    0.303 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      199    0.001    0.000    0.012    0.000 _compiler.py:514(_compile_info)
      265    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
     4264    0.001    0.000    0.002    0.000 {built-in method builtins.max}
     1058    0.001    0.000    0.002    0.000 _parser.py:311(_class_escape)
      302    0.001    0.000    1.449    0.005 ssl.py:1289(recv_into)
      811    0.001    0.000    0.002    0.000 typing.py:1368(__setattr__)
     3035    0.001    0.000    0.002    0.000 filter.py:292(matches_string)
      199    0.001    0.000    0.181    0.001 _compiler.py:743(compile)
       69    0.001    0.000    0.001    0.000 structures.py:51(__getitem__)
     3829    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      302    0.001    0.000    1.448    0.005 ssl.py:1129(read)
      950    0.001    0.000    0.002    0.000 _parser.py:448(_uniq)
     3750    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     1379    0.001    0.000    0.002    0.000 _parser.py:171(__setitem__)
      816    0.001    0.000    0.002    0.000 _parser.py:371(_escape)
     2691    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     2562    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      257    0.001    0.000    0.048    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
    52/14    0.001    0.000    0.020    0.001 css_parser.py:911(parse_selectors)
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
       40    0.001    0.000    0.009    0.000 response.py:122(decompress)
     4053    0.001    0.000    0.001    0.000 filter.py:259(_base_match)
     3261    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
        2    0.001    0.000    0.001    0.000 {method 'poll' of 'select.poll' objects}
   469/10    0.001    0.000    1.509    0.151 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      659    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
    198/5    0.001    0.000    1.514    0.303 <frozen importlib._bootstrap>:911(_load_unlocked)
       22    0.001    0.000    3.177    0.144 __init__.py:1(<module>)
     2481    0.001    0.000    0.003    0.000 css_parser.py:307(match)
      302    0.001    0.000    1.451    0.005 socket.py:706(readinto)
     2804    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
      265    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:124(setdefault)
     5946    0.001    0.000    0.001    0.000 element.py:2227(__bool__)
      265    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      199    0.001    0.000    0.104    0.001 _parser.py:970(parse)
      123    0.001    0.000    0.004    0.000 typing.py:1423(__init__)
    170/5    0.001    0.000    1.514    0.303 <frozen importlib._bootstrap_external>:1020(exec_module)
     1008    0.001    0.000    0.001    0.000 {built-in method fromkeys}
       15    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
     1548    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      260    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
     2803    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
      194    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
       10    0.001    0.000    0.004    0.000 enum.py:894(_convert_)
      197    0.001    0.000    0.002    0.000 enum.py:1603(__and__)
      340    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
       12    0.001    0.000    0.001    0.000 cookies.py:349(set_cookie)
     1100    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
       77    0.001    0.000    0.006    0.000 css_parser.py:462(parse_attribute_selector)
     1021    0.001    0.000    0.002    0.000 _compiler.py:401(_simple)
      943    0.001    0.000    0.001    0.000 typing.py:1294(_is_dunder)
        2    0.001    0.000    0.001    0.000 client.py:425(_close_conn)
     2629    0.001    0.000    0.001    0.000 parser.py:127(clear_cdata_mode)
     1630    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
       65    0.001    0.000    0.001    0.000 filter.py:378(__init__)
        2    0.001    0.000    0.002    0.001 adapters.py:359(build_response)
      897    0.001    0.000    0.001    0.000 enum.py:1585(_get_value)
       87    0.001    0.000    0.001    0.000 {built-in method _imp.source_hash}
     1903    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
     2599    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
      448    0.001    0.000    0.001    0.000 element.py:1881(_all_strings)
     2699    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      968    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
       24    0.001    0.000    0.001    0.000 <frozen os>:711(__getitem__)
      126    0.001    0.000    0.004    0.000 _markupbase.py:165(parse_comment)
      170    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
      336    0.000    0.000    0.001    0.000 enum.py:825(__setattr__)
     1105    0.000    0.000    0.001    0.000 element.py:2168(get)
  198/194    0.000    0.000    1.074    0.006 <frozen importlib._bootstrap>:806(module_from_spec)
      136    0.000    0.000    0.001    0.000 css_parser.py:359(__init__)
      265    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:162(__enter__)
      199    0.000    0.000    0.075    0.000 _compiler.py:576(_code)
      194    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
       57    0.000    0.000    0.005    0.000 typing.py:753(Union)
       19    0.000    0.000    0.001    0.000 cookiejar.py:677(escape_path)
      224    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
      412    0.000    0.000    0.001    0.000 _parser.py:264(getwhile)
      265    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       22    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
      589    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
       40    0.000    0.000    0.259    0.006 response.py:1173(read_chunked)
      222    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
      336    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      199    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
  225/183    0.000    0.000    0.001    0.000 _compiler.py:439(_get_literal_prefix)
      758    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      194    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
     1018    0.000    0.000    0.001    0.000 filter.py:321(matches_tag)
  136/131    0.000    0.000    0.004    0.000 css_parser.py:385(freeze)
  712/655    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
       58    0.000    0.000    0.002    0.000 <frozen _collections_abc>:808(get)
        1    0.000    0.000    0.007    0.007 packages.py:1(<module>)
        2    0.000    0.000    1.205    0.602 client.py:324(begin)
      129    0.000    0.000    0.001    0.000 typing.py:260(_collect_type_parameters)
        6    0.000    0.000    0.004    0.001 typing.py:2998(__new__)
      126    0.000    0.000    0.003    0.000 _htmlparser.py:285(handle_comment)
      314    0.000    0.000    0.001    0.000 enum.py:695(__call__)
        1    0.000    0.000    2.325    2.325 financial.py:17(get_financial_data)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       50    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      302    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      224    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:416(__enter__)
      282    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
     1146    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      494    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      557    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
      431    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
     1146    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      680    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      265    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
        1    0.000    0.000    0.000    0.000 retry.py:41(Retry)
      127    0.000    0.000    0.002    0.000 typing.py:1307(__init__)
  171/168    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
       23    0.000    0.000    0.002    0.000 enum.py:498(__new__)
       65    0.000    0.000    0.001    0.000 functools.py:36(update_wrapper)
       12    0.000    0.000    0.006    0.000 copy.py:62(copy)
      777    0.000    0.000    0.000    0.000 _parser.py:82(groups)
      659    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      218    0.000    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
       84    0.000    0.000    0.001    0.000 css_parser.py:798(parse_combinator)
       27    0.000    0.000    0.001    0.000 enum.py:251(__set_name__)
       65    0.000    0.000    0.027    0.000 filter.py:163(find_all)
      303    0.000    0.000    0.002    0.000 typing.py:164(_type_convert)
      186    0.000    0.000    0.001    0.000 _parser.py:85(opengroup)
      102    0.000    0.000    0.001    0.000 enum.py:1592(__or__)
      130    0.000    0.000    0.000    0.000 filter.py:224(__init__)
      224    0.000    0.000    0.002    0.000 element.py:524(get_text)
      316    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
       63    0.000    0.000    0.001    0.000 enum.py:354(__setitem__)
       57    0.000    0.000    0.001    0.000 typing.py:379(_remove_dups_flatten)
       25    0.000    0.000    0.002    0.000 cookiejar.py:620(request_host)
      136    0.000    0.000    0.003    0.000 css_types.py:203(__init__)
        3    0.000    0.000    0.001    0.000 cookiejar.py:466(parse_ns_headers)
       12    0.000    0.000    0.000    0.000 message.py:533(get_all)
      280    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
       49    0.000    0.000    0.002    0.000 typing.py:1634(__getitem__)
      314    0.000    0.000    0.001    0.000 enum.py:1152(__new__)
       22    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
      428    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      254    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      171    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       69    0.000    0.000    0.001    0.000 css_parser.py:532(parse_tag_pattern)
