('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         806537 function calls (782076 primitive calls) in 3.383 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
       14    0.000    0.000    0.000    0.000 enum.py:1455(_missing_)
       22    0.000    0.000    0.001    0.000 <frozen zipimport>:68(__init__)
       41    0.000    0.000    0.013    0.000 response.py:469(_decode)
        2    0.000    0.000    0.001    0.000 feedparser.py:472(_parse_headers)
        2    0.000    0.000    0.063    0.032 connection.py:1(<module>)
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:758(_validate_hash_pyc)
        1    0.000    0.000    0.007    0.007 parse.py:1(<module>)
    24/21    0.000    0.000    0.052    0.002 <frozen importlib._bootstrap_external>:1318(create_module)
        3    0.000    0.000    0.000    0.000 cookiejar.py:466(parse_ns_headers)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
        2    0.000    0.000    0.010    0.005 request.py:1(<module>)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
       16    0.000    0.000    0.001    0.000 message.py:498(get)
      223    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
    29/16    0.000    0.000    0.379    0.024 {built-in method builtins.__import__}
        1    0.000    0.000    0.001    0.001 status_codes.py:109(_init)
      269    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      316    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
      199    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
       12    0.000    0.000    0.000    0.000 message.py:533(get_all)
       93    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       76    0.000    0.000    0.000    0.000 _parser.py:303(checkgroupname)
        1    0.000    0.000    0.011    0.011 shutil.py:1(<module>)
        2    0.000    0.000    0.003    0.002 cookies.py:1(<module>)
      211    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
       50    0.000    0.000    0.003    0.000 <frozen abc>:105(__new__)
      358    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
        1    0.000    0.000    0.015    0.015 socket.py:1(<module>)
      199    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      368    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        3    0.000    0.000    0.161    0.054 exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
        1    0.000    0.000    0.015    0.015 ssl.py:1(<module>)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
        5    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      247    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      303    0.000    0.000    0.000    0.000 socket.py:744(readable)
       55    0.000    0.000    0.002    0.000 typing.py:1658(copy_with)
       59    0.000    0.000    0.362    0.006 client.py:635(_safe_read)
        3    0.000    0.000    0.066    0.022 response.py:1(<module>)
       33    0.000    0.000    0.000    0.000 enum.py:1055(_add_member_)
      250    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
       49    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
      280    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
       53    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
        5    0.000    0.000    0.000    0.000 request.py:2495(getproxies_environment)
      185    0.000    0.000    0.001    0.000 typing.py:789(<genexpr>)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
        1    0.000    0.000    0.109    0.109 css_parser.py:1(<module>)
        7    0.000    0.000    0.002    0.000 feedparser.py:218(_parsegen)
      257    0.000    0.000    0.000    0.000 element.py:657(_last_descendant)
        6    0.000    0.000    0.000    0.000 typing.py:1326(__mro_entries__)
       63    0.000    0.000    0.002    0.000 typing.py:1023(__init__)
       40    0.000    0.000    0.000    0.000 response.py:1133(_update_chunk_length)
        2    0.000    0.000    0.007    0.004 models.py:1(<module>)
        5    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
      606    0.000    0.000    0.000    0.000 ssl.py:1117(_checkClosed)
        7    0.000    0.000    0.004    0.001 typing.py:2979(_make_nmtuple)
    42/30    0.000    0.000    0.017    0.001 css_parser.py:569(parse_pseudo_class)
      170    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      142    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.225    0.225 element.py:1(<module>)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       35    0.000    0.000    0.001    0.000 ipaddress.py:2307(__init__)
      160    0.000    0.000    0.000    0.000 enum.py:199(__get__)
       18    0.000    0.000    0.000    0.000 typing.py:1256(_generic_init_subclass)
      222    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
    70/50    0.000    0.000    0.000    0.000 typing.py:1773(__hash__)
      353    0.000    0.000    0.000    0.000 _compiler.py:431(_get_iscased)
